NO,회사,제목,지역,상세보기 페이지
1,(주)디자인그룹나인,[파견/12개월/기흥] 대기업 파이썬 개발자 모집,경기 용인시 기흥구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603250002153&src=etc*search
2,(주)디자인그룹나인,[파견/9개월/수원] 대기업 파이썬 고급 개발자 모집,경기 수원시 영통구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604150001067&src=etc*search
3,(주)코레이즈홀딩스,파이썬(flask) 웹 개발자 채용,서울 성동구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110005301&src=etc*search
4,(주)디자인그룹나인,[파견/12개월/기흥] 대기업 파이썬 고급 개발자 모집,경기 용인시 기흥구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604080003132&src=etc*search
5,삼일피더블유씨엑셀러레이션센터,[삼일피더블유씨엑셀러레이션센터] 업무자동화(RPA) 엔지니어 채용 (신입),서울 용산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604280001984&src=etc*search
6,(주)디자인그룹나인,[파견/4개월/강남or가산] 기업내 재난관리시스템 AI개발자 모집,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604080002913&src=etc*search
7,(주)체스트넛,"임베디드 C, C++  개발자",서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604100000367&src=etc*search
8,(주)에이치알타운,바이오 신약개발 전문업체 AI연구팀장 모집,서울 금천구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604210001085&src=etc*search
9,연세대학교의료원 산학협력단,연세대학교 의생명시스템정보학과 서버/소프트웨어 엔지니어 모집,서울 서대문구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604150000252&src=etc*search
10,엔아이스퀘어,응용 시스템 개발자 모집,광주 광산구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603240001032&src=etc*search
11,제노솔루션주식회사,[제노솔루션] 모의해킹 / 취약점 점검 경력 채용,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603180000313&src=etc*search
12,지니코딩스쿨컴퓨터학원,IT교육/프로그래밍강사/컴퓨터강사/AI교육강사,부산 해운대구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605070001162&src=etc*search
13,주식회사 원오토메이션,PLC/HMI 제어 엔지니어 채용,경남 창원시 마산회원구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110000800&src=etc*search
14,(주) 와이즈오토모티브,Embedded Application 개발자  채용,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604130004139&src=etc*search
15,굿커리어,"기구설계  (매출 5000억, 코스닥 반도체 장비 제조사)",서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300004958&src=etc*search
16,(주)케인앤클루컨설팅,AI개발/운영 경력사원 모집,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300000268&src=etc*search
17,(주)스카우트,HR system 고도화(과~차장급)-상장유명대기업,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604230000119&src=etc*search
18,파워에이치알,[코스피-신용평가업체] 금융권 애플리케이션개발,서울 영등포구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605070005283&src=etc*search
19,(주)에이알엔텍,항법 센서 관련 SW/HW 개발자,대전 유성구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110001314&src=etc*search
20,엑스다임 (주),국내 글로벌 헬스케어 IT Solution 기업 - AI Agent Engineer,서울 강남구 외,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604020000979&src=etc*search
21,주식회사TEF,기업부설연구소 연구원 모집(SW개발),전남 순천시,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605040001831&src=etc*search
22,동성인재개발교육원,[부산자바학원] 국비교육 AI기반 K디지털  IT실무 자바 교육생 모집,부산 부산진구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603170002378&src=etc*search
23,에이피써치,[외국계소비재]Automation Developer(경력 1-3년),서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604300004565&src=etc*search
24,(주)라스테크,<5.27(수) 대전 일자리수요데이 참여 업체>  공공/민간 SI 및 SM 프로젝트 JAVA개발자 모집,대전 유성구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110005531&src=etc*search
25,프로페셔날핸즈인핸즈코리아(주),중견기업 데이터분석 (과장급) 정규직 채용,서울 강남구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2604030001934&src=etc*search
26,굿커리어,"MLC/MLO 설계  (매출 5000억, 코스닥 반도체 장비 제조사)",충남 천안시 서북구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2603300004975&src=etc*search
27,(주)에이치앤티어세스,Machine Vision기술을 이용한 장비개발 SW엔지니어를 모십니다.,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605060004270&src=etc*search
28,파워에이치알,[ 분당구 ] 풀스택 S/W 개발자 채용,경기 성남시 분당구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605080000715&src=etc*search
29,(주)케이피엠씨,스마트 공유주차플랫폼 & 소규모공동주택 통합관리 서비스 확대를 위한 인재 채용,서울 서초구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605110003069&src=etc*search
30,(주)엠에스엘,웹서버 관리자 정규직 채용,대전 유성구,https://job.incruit.com/jobdb_info/jobpost.asp?job=2605070003193&src=etc*search
